"Username";"Password";"Name";"Email";"City"
"ajay.gadekar";"saveastray";"Ajay Gadekar";"ajay.g@mail.com";"Mumbai"
"akshay.bhosale";"petrescue";"Akshay Bhosale";"akshayb@mail.com";"Pune"
"ashish.kulkarni";"bestfriends";"Ashish Kulkarni";"ashish.k@mail.com";"Mumbai"
"kavita.jadhav";"love4paws";"Kavita Jadhav";"kavitaj@mail.com";"Mumbai"
"mayur.shelar";"buddy123";"Mayur Shelar";"mayurshel@mail.com";"Pune"
"nikhil.joshi";"happytails";"Nikhil Joshi";"nikhilj@mail.com";"Nagpur"
"pooja.shinde";"home4pets";"Pooja Shinde";"pooja88@mail.com";"Pune"
"prashant.patil";"pass1234";"Prashant Patil";"prashantp@mail.com";"Nagpur"
"priya.patil";"foreverhome";"Priya Patil";"priyap22@mail.com";"Pune"
"riya.deshmukh";"happypet";"Riya Deshmukh";"riya22@mail.com";"Mumbai"
"rohan.kulkarni";"mypetbuddy";"Rohan Kulkarni";"rohan.k@mail.com";"Mumbai"
"ruchita.shinde";"fureverhome";"Ruchita Shinde";"ruchita25@mail.com";"Mumbai"
"sanjay.jadhav";"petcare";"Sanjay Jadhav";"sanjay.j@mail.com";"Pune"
"santosh.more";"shelterhelper";"Santosh More";"santoshmore@mail.com";"Nagpur"
"sarika.pawar";"animalfriend";"Sarika Pawar";"sarikapaw@mail.com";"Mumbai"
"sneha.jadhav";"securepass";"Sneha Jadhav";"snehaj@mail.com";"Pune"
"tejas.sawant";"animallover";"Tejas Sawant";"tejass@mail.com";"Mumbai"
"vaishnavi.patil";"adoptme";"Vaishnavi Patil";"vaishnavipatil@mail.com";"Nagpur"
"vijay.more";"adoptlove";"Vijay More";"vijay.m@mail.com";"Mumbai"
"yogesh.pawar";"secondchance";"Yogesh Pawar";"yogesh.p@mail.com";"Nagpur"
